epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,16982.2,1.69506,0.8558,1.04608,0.84863,0.75384,0.78814,0.43748,2.22747,1.22731,0.93107,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,17244.2,1.68968,0.84481,1.04574,0.85023,0.75384,0.78685,0.43767,2.22648,1.22489,0.93153,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,17502.5,1.67495,0.83912,1.04033,0.85375,0.75314,0.78745,0.43814,2.22166,1.22455,0.92986,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,17767.8,1.67606,0.84323,1.035,0.85228,0.75301,0.78685,0.4392,2.22145,1.22386,0.92897,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,18457,1.67052,0.8373,1.03514,0.85455,0.7518,0.78524,0.43961,2.21897,1.22363,0.92852,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,18708.5,1.65987,0.82816,1.03364,0.85415,0.7537,0.78625,0.44058,2.21967,1.22136,0.92848,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,18963.8,1.66104,0.83086,1.03267,0.84873,0.75539,0.786,0.4418,2.21644,1.21915,0.92755,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,19220.9,1.65301,0.82571,1.02458,0.85333,0.7556,0.78794,0.44219,2.21474,1.21827,0.92723,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,19478.8,1.64777,0.82056,1.02492,0.85498,0.75621,0.78764,0.44264,2.21288,1.21574,0.92677,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,19739,1.64359,0.81338,1.0224,0.85645,0.75683,0.78876,0.44342,2.21218,1.21425,0.92661,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,19998.6,1.6467,0.81911,1.02723,0.85685,0.75613,0.78877,0.44337,2.2105,1.21279,0.92596,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,20260,1.62858,0.81058,1.01929,0.85569,0.75802,0.78958,0.44361,2.21141,1.21235,0.92578,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,20517.6,1.62416,0.80392,1.01635,0.85589,0.75783,0.79021,0.44444,2.21079,1.20976,0.92537,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,20773.4,1.61588,0.7999,1.01637,0.85561,0.75865,0.79085,0.44505,2.2085,1.2085,0.92516,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,21030.5,1.61243,0.79388,1.0141,0.85684,0.75851,0.79111,0.44617,2.20729,1.20788,0.92482,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,21287.1,1.60339,0.79045,1.0162,0.85692,0.75876,0.79098,0.44615,2.20653,1.20624,0.92471,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,21575.5,1.60181,0.78945,1.00804,0.85698,0.76045,0.79104,0.44675,2.2063,1.20483,0.9248,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,22259.2,1.58892,0.78014,1.00928,0.85947,0.75947,0.79156,0.44692,2.20551,1.20385,0.92553,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,22522.5,1.59134,0.78225,1.00453,0.85966,0.75914,0.79139,0.44694,2.20502,1.20232,0.92483,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,22776.2,1.58986,0.78127,1.00524,0.85797,0.75964,0.79143,0.44696,2.20336,1.20123,0.92451,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,23032.7,1.58213,0.77653,1.00254,0.85728,0.76097,0.79173,0.44777,2.20223,1.19991,0.92425,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,23290.2,1.58384,0.77882,0.99981,0.86096,0.75899,0.79171,0.44801,2.20065,1.19943,0.92399,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,23554.2,1.56173,0.76746,1.00185,0.85876,0.76004,0.79178,0.44824,2.20028,1.19876,0.92395,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,23810.5,1.56491,0.76652,0.99775,0.85833,0.75991,0.79173,0.44889,2.19918,1.19801,0.92382,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,24136.3,1.55687,0.76539,0.99767,0.85702,0.76093,0.7921,0.44906,2.1995,1.19794,0.92371,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,24394.5,1.55165,0.75745,0.9946,0.85696,0.76119,0.7919,0.44927,2.19925,1.19767,0.92349,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,24649.9,1.53964,0.75599,0.99149,0.85627,0.7619,0.79218,0.44921,2.19889,1.19691,0.92324,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,24906.8,1.53843,0.75368,0.98829,0.85613,0.76177,0.79153,0.44982,2.19878,1.19658,0.92335,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,25164.6,1.53425,0.74833,0.98861,0.85717,0.76207,0.79192,0.44996,2.1982,1.19705,0.92337,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,25426.9,1.54004,0.75358,0.98511,0.85831,0.76204,0.79188,0.45023,2.19801,1.19639,0.92348,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,25683.1,1.52048,0.74536,0.98493,0.8581,0.76197,0.79177,0.45063,2.19728,1.19606,0.92358,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,25940.8,1.53097,0.74406,0.98164,0.8578,0.76182,0.7917,0.45069,2.19727,1.19516,0.9235,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,26197,1.51352,0.73883,0.98457,0.85921,0.76173,0.79187,0.45085,2.19732,1.19446,0.92363,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,26454.5,1.51174,0.73368,0.97905,0.85987,0.76177,0.79202,0.45097,2.19706,1.19374,0.92365,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,26710.2,1.50007,0.73148,0.97828,0.85967,0.76163,0.79205,0.45118,2.19681,1.19333,0.92365,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,26967.7,1.50715,0.73214,0.97725,0.86018,0.76184,0.79241,0.45167,2.19657,1.193,0.92357,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,28062.3,1.50361,0.73218,0.97377,0.85929,0.76222,0.79204,0.45156,2.19665,1.19218,0.92353,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,28312.1,1.48217,0.7203,0.97468,0.85881,0.76272,0.79234,0.45161,2.19646,1.19183,0.92352,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,28568.8,1.46937,0.69259,0.98537,0.85823,0.76277,0.79221,0.4517,2.19702,1.19251,0.92362,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,28818,1.45695,0.68838,0.9796,0.85858,0.76243,0.79216,0.4517,2.1967,1.1924,0.92367,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,29070.1,1.44563,0.6819,0.97514,0.858,0.76249,0.79185,0.45179,2.19698,1.19273,0.92373,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,29321.9,1.43422,0.67521,0.97594,0.85761,0.7624,0.79201,0.45221,2.19679,1.19277,0.92369,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,29573.1,1.4282,0.67275,0.97098,0.85674,0.76256,0.7919,0.452,2.19616,1.19251,0.92358,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,30287,1.42702,0.67369,0.96645,0.85863,0.76188,0.79192,0.4521,2.19635,1.19212,0.92346,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,30533,1.41188,0.66659,0.9685,0.85803,0.76151,0.79173,0.45193,2.19626,1.1922,0.92345,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,30788.8,1.40314,0.66095,0.96336,0.85671,0.762,0.79182,0.45181,2.19707,1.19213,0.92351,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,31039.9,1.40661,0.66232,0.96049,0.85616,0.76243,0.79172,0.45203,2.19686,1.1925,0.92349,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,31291.2,1.39554,0.65653,0.962,0.8553,0.76261,0.79163,0.45213,2.19703,1.19221,0.92346,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
