epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1721.36,1.12883,0.54332,1.0355,0.91723,0.89782,0.93316,0.56729,1.43572,0.60732,1.20898,0.000396125,0.000396125,0.000396125
71,1744.7,1.11387,0.53322,1.03059,0.92991,0.90042,0.93889,0.56857,1.43637,0.59648,1.20736,0.00038375,0.00038375,0.00038375
72,1767.77,1.09857,0.5359,1.03507,0.92747,0.89067,0.93683,0.56958,1.42176,0.58763,1.20782,0.000371375,0.000371375,0.000371375
73,1791.11,1.11108,0.53311,1.02891,0.92699,0.88899,0.93493,0.57158,1.43567,0.59535,1.21231,0.000359,0.000359,0.000359
74,1814.38,1.08872,0.5263,1.03027,0.93238,0.89079,0.9364,0.56952,1.45127,0.60665,1.22569,0.000346625,0.000346625,0.000346625
75,1837.57,1.07689,0.52205,1.02024,0.93499,0.9022,0.94231,0.57298,1.43349,0.59462,1.21222,0.00033425,0.00033425,0.00033425
76,1860.93,1.09255,0.52341,1.02331,0.9305,0.89457,0.93581,0.57002,1.42554,0.58927,1.21408,0.000321875,0.000321875,0.000321875
77,1884.26,1.07697,0.51412,1.01743,0.92678,0.90095,0.93771,0.56626,1.4435,0.59423,1.2166,0.0003095,0.0003095,0.0003095
78,1907.62,1.07131,0.51607,1.01466,0.92531,0.89248,0.93659,0.57095,1.43254,0.58866,1.20819,0.000297125,0.000297125,0.000297125
79,1931.64,1.05531,0.51071,1.01223,0.93433,0.89198,0.93377,0.56863,1.43023,0.58742,1.22242,0.00028475,0.00028475,0.00028475
80,1955.18,1.04659,0.50299,1.01189,0.92232,0.89884,0.93443,0.56899,1.4324,0.58737,1.21275,0.000272375,0.000272375,0.000272375
81,1978.85,1.05118,0.51101,1.01513,0.93159,0.89402,0.93685,0.56984,1.43227,0.58153,1.21686,0.00026,0.00026,0.00026
82,2002.35,1.03836,0.50247,1.00823,0.93005,0.91199,0.94014,0.56884,1.43597,0.58248,1.22204,0.000247625,0.000247625,0.000247625
83,2026.02,1.04428,0.50141,1.00405,0.92887,0.90263,0.93786,0.57088,1.42404,0.58068,1.215,0.00023525,0.00023525,0.00023525
84,2049.76,1.04418,0.49965,1.00339,0.92651,0.90544,0.93761,0.57189,1.43038,0.59079,1.21731,0.000222875,0.000222875,0.000222875
85,2073.35,1.02649,0.49432,1.00361,0.9232,0.90392,0.93748,0.57089,1.43019,0.5876,1.21819,0.0002105,0.0002105,0.0002105
86,2097.85,1.01263,0.48865,1.00584,0.93417,0.90424,0.93761,0.57185,1.42707,0.58358,1.21535,0.000198125,0.000198125,0.000198125
87,2121.65,1.02956,0.48823,0.99592,0.92297,0.90737,0.9381,0.57242,1.4236,0.58417,1.21372,0.00018575,0.00018575,0.00018575
88,2145.3,1.01768,0.48725,0.9953,0.9215,0.89923,0.93455,0.56796,1.42486,0.58508,1.22049,0.000173375,0.000173375,0.000173375
89,2169.03,1.03152,0.49099,0.99336,0.93162,0.90115,0.9382,0.57296,1.42153,0.57717,1.21494,0.000161,0.000161,0.000161
90,2192.45,0.99846,0.47834,0.99947,0.92937,0.89974,0.939,0.57294,1.42447,0.58042,1.22273,0.000148625,0.000148625,0.000148625
91,2222.61,0.99821,0.45907,0.99018,0.93411,0.90007,0.93867,0.56639,1.43982,0.58124,1.23647,0.00013625,0.00013625,0.00013625
92,2245.9,1.00489,0.45769,0.99179,0.9328,0.90037,0.93774,0.56791,1.43271,0.5815,1.22324,0.000123875,0.000123875,0.000123875
93,2269.61,0.98272,0.44959,0.9783,0.94255,0.89477,0.93854,0.57074,1.42781,0.58171,1.22498,0.0001115,0.0001115,0.0001115
94,2293.18,0.9817,0.44587,0.97883,0.93831,0.90177,0.93834,0.56646,1.43442,0.57908,1.23075,9.9125e-05,9.9125e-05,9.9125e-05
95,2316.47,0.98473,0.44552,0.9767,0.9377,0.89779,0.93974,0.57062,1.43643,0.58262,1.23865,8.675e-05,8.675e-05,8.675e-05
96,2339.75,0.97663,0.4469,0.97589,0.93431,0.89599,0.93774,0.56956,1.42559,0.58198,1.22746,7.4375e-05,7.4375e-05,7.4375e-05
97,2363.24,0.96151,0.44071,0.96898,0.94171,0.89869,0.93983,0.57055,1.42858,0.58212,1.23043,6.2e-05,6.2e-05,6.2e-05
98,2386.46,0.96799,0.43872,0.97492,0.9353,0.90274,0.93999,0.57271,1.42683,0.57948,1.23103,4.9625e-05,4.9625e-05,4.9625e-05
99,2409.73,0.95475,0.43553,0.96403,0.93718,0.90108,0.94016,0.5743,1.41982,0.57812,1.22747,3.725e-05,3.725e-05,3.725e-05
100,2433.09,0.94625,0.43504,0.96736,0.94029,0.89898,0.93824,0.57413,1.42099,0.57802,1.23078,2.4875e-05,2.4875e-05,2.4875e-05
